;VE;VHR;VE+VHR;IMTOT;IPC;PIB/hab;Population;PGazole;PSuper SP95;PSP95-E10;PSuper SP98;PGPLc;Pelec
2000;;;;2133;79.9;24,277.9;  59 015;0.84682718;1.09173116;;1.10929367;0.5237607;110.3
2001;;;;2254;81.2;25,073.4;  59 384;0.79601834;1.03288186;;1.05702877;0.50702197;109.9
2002;;;;2145;82.8;25,694.7;  59 803;0.77242353;1.01459482;;1.0365017;0.4971466;110.9
2003;;;;2009;84.5;26,201.6;  60 252;0.79347115;1.01631731;;1.03655;0.53756154;112.049
2004;;0.669;0.669;2014;86.3;27,179.7;  60 698;0.88470943;1.06027358;;1.08268491;0.56613396;113.986
2005;;2.885;2.885;2068;87.9;27,955.6;  61 120;1.02680385;1.16591346;;1.20527308;0.64327885;113.986
2006;;6.413;6.413;2001;89.33;29,054.6;  61 509;1.07750962;1.23681731;;1.27430385;0.71051923;114.6
2007;;7.159;7.159;2110;90.66;30,332.1;  61 869;1.09493269;1.27645192;;1.30855192;0.71150962;114.168836
2008;0.004;8.468;8.472;2,050;93.21;30,956.4;  62 209;1.26709231;1.35375577;;1.39286731;0.76274038;112.333492
2009;0.012;9.655;9.667;2,302;93.29;29,933.1;  62 543;1.00235;1.20920577;;1.24308197;0.67491696;114.84139
2010;0.184;9.655;9.839;2,252;94.71;30,691.6;  62 880;1.14674906;1.34640189;;1.38214717;0.73768679;124.427806
2011;2.63;13.641;16.271;2,204;96.71;31,507.3;  63 222;1.33544231;1.49953462;;1.53742885;0.85400192;134.199487
2012;5.663;27.889;33.552;1,899;98.6;31,816.8;  63 564;1.395775;1.565775;;1.61816731;0.88225;138.240753
2013;8.779;46.745;55.524;1,790;99.46;32,083.1;  63 894;1.35018077;1.53673462;1.51099615;1.59427692;0.87311731;146.699443
2014;10.561;43.143;53.704;1,796;99.96;32,418.9;  64 194;1.28561923;1.48458269;1.47586346;1.54480385;0.85647308;153.462645
2015;17.268;61.619;78.887;1,917;100;33,018.8;  64 453;1.14937308;1.35310962;1.34559231;1.41496346;0.78665962;162.409586
2016;21.751;58.389;80.14;2,015;100.18;33,429.6;  64 668;1.10549811;1.30393585;1.28136415;1.36240566;0.70924717;164.782329
2017;24.91;81.559;106.469;2111;101.22;34,255.1;  64 843;1.23253288;1.37665942;1.35431942;1.44303538;0.74217173;166.188257
2018;31.07;106.343;137.413;2,173;103.09;35095.469;  64 991;1.43718673;1.50480058;1.48250346;1.57148981;0.82106712;171.438095
